"ID","LOGAMOUNT"
2,2.05269724029426
9,3.48507069483578
13,2.95297136025124
17,2.48569525680496
18,1.85578085983193
21,3.55736522944629
22,2.35618651695362
30,2.26578766690501
31,2.23323985101118
33,2.9543368619387
35,2.03198228534323
36,2.41264178930753
39,2.42557590152769
41,2.25429989067619
43,2.57419593907085
45,2.88555725415491
46,2.72332825566332
49,2.66810013841714
50,3.52096158901378
59,5.12179710974976
63,4.12706116437895
66,2.550474368746
67,3.09576717344214
69,2.46624412932687
79,3.58257345106003
84,2.40033092215642
85,2.85534518612589
87,2.41440062627993
91,3.26742052918208
92,2.17619585743603
93,2.47595085367031
97,2.37692680421416
103,2.88840353579437
106,2.62418353218413
107,3.18269994169738
108,3.40752564778957
110,2.29963500193014
111,1.98908046219427
116,3.14939422998776
124,2.08496410594109
125,3.34599585443592
131,2.90623905362209
132,3.21182136262923
139,3.91962436230374
141,1.55618685448241
142,2.03243679750237
144,1.53364533357587
146,2.93837716555902
149,1.69655901369003
168,2.70228125196905
170,2.70097147543979
173,1.98547493751054
174,3.23742601504256
175,2.37095996487702
176,2.29178841307616
181,2.74301973191757
183,2.43313231142039
186,2.02256243157509
200,2.55658272251596
208,2.82014743381102
213,3.52110571154607
219,3.42629302030649
228,2.96414486423242
229,2.815531026868
235,2.00591221518402
236,2.55843038580466
239,2.18708447439013
246,2.55971060342733
248,2.77940176311445
251,2.73859548927319
256,3.27958519629898
259,2.87094844858394
262,1.44801651207252
269,4.21170422090676
272,2.03022602065409
275,2.1835441700338
277,2.12654124980267
278,2.07641105846523
281,2.7930078229296
284,2.14233361732565
290,2.03273934504529
292,2.57611980306884
293,2.50069296107582
294,2.57161082791268
297,2.3927931595544
299,2.12151089902733
300,2.48264787530159
303,2.79947556165295
306,2.1682528329627
316,2.81217748168461
319,2.67302378991723
328,2.68406509909504
330,2.31643723532273
331,2.39131550014352
333,3.12292408255145
334,2.76183130220011
336,2.19867214214094
338,1.92619104372437
341,3.22497554114899
351,3.28892425515439
355,2.80852720708826
357,2.30075502488638
359,4.50247128078493
364,2.53484875266975
376,2.49243696113117
377,2.41850205416541
379,2.38881488722922
382,2.69787254219515
386,1.86193079012718
388,3.65348350348505
389,3.17623092135725
394,2.74152910835724
396,2.12966522567571
400,2.12265053439128
407,2.76099582913817
416,3.15419677573734
417,3.49628316950162
425,2.88896804679566
427,2.33179065998271
430,3.14578838822443
433,2.38306803704557
436,3.12054254282646
443,2.96972552778919
447,2.90290950285761
448,2.58517925802581
449,2.39724864779712
452,3.48238738502902
453,2.74031766230985
454,4.87697458513384
457,2.51589558451163
458,2.34611408528497
460,4.83559521203815
462,2.12422396496586
463,2.24045877072987
465,2.52318510576568
467,2.58284249642977
471,2.3041145217744
477,2.27807561922909
479,2.88072136870346
480,3.86814305676818
490,3.39822869999781
491,3.1337231253621
493,3.48683180433032
495,2.81875341243508
500,2.71732602220027
510,2.70549864639244
513,2.33705514419849
514,2.49361348914944
516,2.82779840689239
517,2.74345618309713
524,2.51506305226279
531,2.21709002505338
535,1.85236377541239
537,1.95229238220967
538,3.0350703541398
544,3.47081433865497
545,2.12503751631612
547,2.23170315122302
550,2.07280310996919
551,2.33775496159545
552,3.31270876674239
554,2.61101786820505
556,2.98483481224997
557,1.88817968748587
566,2.86029663596704
571,3.40857695613716
575,2.06914141441189
576,4.02089251731086
577,2.43683872412627
580,3.27336984761759
587,3.39358276769728
588,2.24382526489218
592,3.2017273160551
593,2.08259501498591
594,2.28624708322067
600,1.99707276157701
601,2.42880051359277
606,3.07756372055401
608,2.35891812039195
611,3.22273200853326
616,2.82497360716
619,2.96919735446952
620,2.80170331706455
624,3.37808636497913
625,2.66499308394182
629,2.14783818788799
632,2.71139206716433
638,2.66692414186681
644,1.75238368345483
645,3.12344900603807
646,2.32679668998371
647,2.11037458197692
648,2.77524483942234
651,1.86667477259969
652,3.13104185242885
658,2.17148754428899
659,3.67083746225367
661,2.21571972274911
665,2.79159101229274
667,3.57137166643614
669,1.96049122387413
673,1.85713607437924
678,3.19198701114737
679,2.76457930297931
683,3.29941241485604
684,2.22709123334078
687,2.98045227215312
691,2.66744128452698
692,2.2536045357287
694,2.88330948824324
695,3.19554321540653
696,2.11561065143898
701,3.12635730443497
702,2.43579148650311
712,1.78669688753159
713,2.49935936801885
715,2.7316485138108
717,2.45038035869182
722,2.11264509739114
725,2.50691349492137
734,2.91831916175694
738,2.22379026075716
739,2.83145438832485
